CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
LAB,LAB,0.59,2,8,6,2,4,8,8
MAO,LAB,0.06,5,5,5,0,1,9,10
LAB,LAB,0.16,1,9,0,0,0,0,0
LAB,LAB,0.21,1,7,1,5,5,5,8
LAB,LAB,0.44,5,8,8,5,5,6,6
LAB,LAB,0.45,0,10,1,0,0,10,5
MAO,MAO,0.11,1,5,2,0,0,8,10
No Vote,LAB,0.91,1,8,0,0,0,5,3
NAT,NZF,0.49,8,7,8,5,5,2,6
LAB,LAB,0.37,2,10,8,2,2,10,5
LAB,LAB,0.21,1,10,5,0,0,5,8
PRO,PRO,0.17,5,7,3,1,1,6,8
LAB,LAB,0.44,7,10,6,0,0,10,9
NZF,LAB,0.43,5,5,5,3,3,4,6
NZF,NZF,0.57,1,10,10,0,0,8,0
GRN,LAB,0.54,4,6,0,0,0,9,7
LAB,LAB,0.77,2,10,0,0,0,7,9
MAO,LAB,0.43,5,6,6,4,3,4,7
No Vote,MAO,0.91,0,7,0,0,0,5,10
MAO,LAB,0.25,3,8,0,0,5,5,10
MAO,MAO,0.11,8,8,6,6,6,8,0
LAB,LAB,1.82,1,10,7,4,4,5,7
MAO,MAO,0.05,2,8,5,5,5,5,10
LAB,MAO,0.21,2,10,6,1,1,6,1
GRN,MAO,0.1,3,4,0,0,0,7,10
MAO,LAB,0.47,5,5,0,0,0,5,10
NZF,NZF,0.15,5,8,9,5,1,4,9
NAT,NAT,0.3,10,0,0,0,10,0,6
LAB,LAB,0.15,3,9,5,3,1,5,10
GRN,MAO,0.88,2,8,0,0,0,9,10
LAB,,0.08,5,9,9,1,1,5,5
MAO,MAO,0.14,5,5,5,6,0,0,10
MAO,GRN,0.06,0,6,6,0,0,6,10
LAB,LAB,0.09,0,10,4,4,0,6,8
NZF,LAB,0.07,6,4,10,0,0,0,10
LAB,GRN,3.02,0,10,5,2,2,9,9
MAO,LAB,0.53,1,5,6,4,0,5,10
NZF,LAB,0.77,0,8,10,0,0,2,5
LAB,LAB,0.44,5,8,0,0,0,3,10
LAB,LAB,0.59,4,9,5,7,4,4,8
GRN,GRN,0.23,1,7,2,0,0,9,9
LAB,LAB,0.37,0,9,3,1,1,8,7
MAO,LAB,0.73,0,8,5,0,0,5,10
NAT,LAB,0.98,5,5,0,0,0,5,10
MAO,MAO,0.06,6,4,3,3,4,9,9
LAB,LAB,0.37,0,9,2,0,0,3,0
LAB,LAB,0.08,7,7,5,5,6,5,7
LAB,LAB,0.09,0,10,0,0,0,0,0
NAT,NAT,0.21,10,6,0,2,7,7,10
LAB,LAB,0.4,0,7,0,0,0,3,8
MAO,LAB,0.27,5,7,5,2,1,2,8
LAB,LAB,0.4,0,0,0,0,0,0,0
MAO,NZF,0.18,8,0,0,0,0,0,0
NAT,NAT,0.42,9,0,7,6,6,0,6
