"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
National,National,0.86,9,3,1,5,5,7,6,3
National,National,2.65,10,0,0,3,0,0,0,5
National,National,0.33,8,3,0,7,7,1,4,0
National,National,0.33,8,2,0,1,5,1,6,0
Labour,Labour,0.31,4,9,8,4,1,8,6,0
National,Green,1.56,8,5,2,6,8,7,2,2
Labour,Labour,0.30,5,10,7,0,0,3,0,0
Labour,Labour,1.47,5,10,5,3,3,4,0,0
National,National,0.62,8,3,1,4,6,2,4,4
National,National,0.67,8,3,2,1,3,4,5,0
National,National,0.62,8,2,4,6,6,5,5,5
National,National,0.33,5,0,0,0,0,0,0,0
National,National,0.33,5,0,0,5,0,0,5,5
National,Green,0.86,6,3,1,2,2,5,1,3
Labour,Labour,0.72,10,8,0,8,5,5,5,6
Labour,Labour,0.89,2,9,0,5,0,7,5,8
National,National,0.51,7,4,0,2,6,4,6,0
Labour,Labour,3.19,3,10,3,0,0,6,1,0
National,National,0.62,10,0,5,0,2,2,2,0
No Vote,No Vote,1.19,10,9,0,5,5,3,9,5
Labour,Labour,0.55,3,9,5,3,0,10,8,10
Labour,Labour,0.31,5,10,10,0,0,8,0,8
National,National,0.29,10,0,0,0,0,0,0,0
Labour,National,0.26,3,9,8,0,0,7,5,0
Green,Labour,1.93,2,7,2,2,0,9,5,0
Green,Green,0.32,6,6,3,0,0,8,5,0
Green,Green,0.56,3,7,2,0,0,7,6,6
Labour,Labour,0.59,2,10,0,0,0,10,10,10
NZ First,Progressive,0.62,0,10,10,0,0,5,0,10
Labour,NZFirst,0.79,5,7,7,3,1,1,6,4
National,National,1.17,7,4,3,6,5,4,4,4
National,National,0.86,10,0,0,4,5,1,0,0
Labour,Labour,0.79,2,6,0,0,5,1,4,0
Act,Act,0.93,5,0,0,3,10,0,8,3
National,National,0.66,10,4,0,4,8,5,5,5
Labour,Labour,2.16,4,8,0,1,1,4,3,4
Labour,Labour,0.98,0,10,7,0,0,0,0,0
National,National,0.67,10,5,1,9,7,5,3,4
Labour,Labour,1.05,3,9,4,3,3,9,8,6
National,National,1.64,10,0,1,1,1,0,0,1
Labour,Labour,0.98,0,10,8,0,0,4,0,0
National,National,0.88,7,6,0,0,5,6,4,0
National,National,0.86,10,1,1,5,5,0,1,0
National,National,0.35,10,0,1,5,5,0,4,0
Labour,Labour,0.77,5,10,0,0,0,0,0,0
National,National,0.35,8,6,2,8,6,3,1,0
NZ First,NZFirst,0.25,5,9,10,4,1,0,4,8
National,National,0.77,10,5,9,8,0,7,3,0
NZ First,NZFirst,0.62,7,4,5,0,4,3,5,0
NZ First,NZFirst,0.24,5,5,10,1,0,1,4,4
NZ First,Green,0.24,2,3,8,0,1,9,3,0
National,National,0.86,6,5,5,0,0,5,0,0
National,National,0.67,10,2,4,4,7,2,4,0
National,National,0.33,10,2,0,4,7,0,5,4
Act,Act,0.27,8,4,0,0,10,2,0,0
Labour,Labour,0.77,6,7,6,3,0,7,5,6
National,Labour,3.57,6,5,0,0,0,4,0,0
National,National,0.66,7,4,1,5,1,1,7,3
Green,Green,0.42,2,7,1,5,0,9,0,0
Labour,Labour,0.55,7,9,5,2,5,9,5,5
National,National,1.52,8,3,3,5,5,4,2,4
National,National,1.23,8,3,5,4,6,4,5,4
NZ First,Labour,0.79,8,4,9,2,0,0,2,2
No Vote,Labour,1.56,5,9,1,0,1,9,1,0
National,National,0.42,8,7,5,0,0,6,0,6
NZ First,NZFirst,0.62,5,5,10,3,1,0,5,4
Labour,Labour,0.98,0,0,0,0,0,0,0,0
NZ First,NZFirst,0.48,0,10,10,5,0,0,0,10
Labour,Labour,1.36,5,6,3,3,3,4,5,6
Bill and Ben,Labour,1.70,5,7,3,1,4,3,0,0
Green,Green,0.96,3,6,0,0,2,8,6,5
Green,Labour,1.81,3,7,3,5,5,9,0,0
Labour,Labour,1.48,6,8,7,3,2,7,6,6
Act,National,1.77,7,4,0,0,8,3,0,0
National,National,1.65,9,7,7,5,4,5,5,0
Act,Labour,0.93,7,4,0,5,7,7,5,2
Labour,Labour,0.77,3,8,2,2,0,7,8,10
Labour,Labour,0.30,0,10,5,5,0,5,0,5
Labour,Labour,0.69,4,8,3,5,7,8,5,5
NZ First,Labour,0.38,5,6,6,5,4,3,3,5
Labour,Labour,0.77,4,7,1,1,1,4,5,5
Labour,Labour,0.30,0,10,0,0,0,0,0,0
Labour,Labour,0.98,3,10,6,2,0,7,0,7
Labour,Labour,0.30,9,10,0,0,0,7,0,10
National,National,2.42,10,0,0,0,0,0,0,0
National,National,0.49,9,5,0,5,5,0,5,2
National,National,0.35,10,0,1,1,3,0,1,0
National,National,0.77,7,4,4,6,6,3,5,0
Act,DK,1.93,6,0,2,4,7,0,2,0
Labour,Labour,0.59,2,7,6,0,0,4,2,6
Act,National,1.17,6,5,2,1,5,4,2,0
National,National,3.33,9,3,3,2,2,0,0,0
National,Labour,0.67,10,2,2,2,5,5,5,0
Green,Green,0.42,3,4,5,5,0,10,7,5
Green,Green,0.96,3,8,2,2,2,9,4,0
National,National,1.17,10,0,0,10,10,7,10,0
Labour,No Vote,1.48,5,5,0,0,0,0,0,0
Green,Green,0.35,3,8,0,0,1,9,0,0
Labour,Labour,0.30,4,7,4,4,4,6,5,4
National,National,3.27,10,3,4,0,0,0,0,0
Labour,Labour,1.47,0,0,0,0,0,0,0,0
Labour,NZFirst,0.77,5,8,5,0,0,6,5,3
National,Labour,2.92,10,10,0,0,0,0,0,0
No Vote,NZFirst,2.96,5,5,8,6,6,5,5,5
Green,Labour,0.42,3,9,3,5,1,10,7,9
Labour,Labour,0.98,2,10,0,0,0,7,0,0
Act,Act,0.45,10,3,1,3,10,0,3,0
Labour,Labour,0.98,0,8,5,0,0,6,4,0
Labour,Labour,0.55,5,8,4,3,3,4,3,3
Labour,Labour,0.77,9,10,0,0,0,5,5,5
National,National,1.64,7,5,0,0,0,7,5,0
Labour,Labour,0.31,5,8,8,0,0,0,6,7
Labour,Labour,0.31,2,10,3,6,4,6,1,6
Labour,Labour,1.47,5,6,0,0,0,0,0,0
National,National,0.35,9,4,7,5,7,0,7,0
Labour,Labour,0.46,7,6,3,0,2,6,1,3
National,National,0.53,10,0,2,5,5,0,0,0
Labour,Labour,0.55,0,10,6,4,0,8,5,3
Labour,Labour,0.55,9,10,9,0,0,6,5,8
National,National,0.38,7,5,3,3,5,2,6,2
National,National,0.33,7,4,2,0,1,0,3,0
National,National,0.62,10,3,2,4,4,0,7,1
Labour,Labour,0.31,5,10,7,0,0,0,0,1
Labour,Labour,0.46,4,10,0,0,2,8,6,0
Labour,Labour,0.79,1,10,5,0,5,8,5,1
Labour,Labour,0.98,9,9,7,5,7,7,5,7
National,National,4.48,7,5,0,5,5,0,0,2
National,National,3.33,10,5,4,5,5,6,8,5
Labour,Labour,1.61,6,7,5,3,2,2,2,5
Labour,Labour,0.30,5,10,5,5,0,5,5,0
National,National,0.42,7,5,2,5,4,4,6,5
National,National,0.33,10,0,6,5,5,0,2,4
National,Labour,3.57,5,3,1,1,5,1,4,1
National,National,0.53,8,4,1,4,5,2,4,2
Labour,Labour,0.77,5,5,3,0,5,3,0,1
National,National,0.53,8,3,5,5,5,2,2,5
National,Maori,0.92,3,2,0,4,4,5,7,5
Labour,Labour,0.30,6,9,6,2,1,8,8,8
Labour,Labour,1.12,0,8,0,0,0,0,3,0
National,National,3.27,0,0,0,0,0,0,0,0
National,National,1.48,9,3,0,0,9,3,7,2
Labour,Labour,1.47,0,10,0,0,5,0,0,0
Green,Labour,1.62,3,8,0,6,0,10,9,6
National,DK,1.00,7,6,2,6,3,5,2,2
NZ First,NZFirst,0.45,5,5,8,2,0,5,4,4
NZ First,NZFirst,0.25,0,8,0,0,0,0,0,0
Labour,Labour,1.47,8,10,5,3,6,1,8,6
National,NZFirst,2.42,8,3,6,4,6,1,2,0
National,Labour,0.34,7,5,3,0,0,5,0,2
Green,Labour,0.42,6,3,0,0,0,0,6,0
National,National,0.53,9,4,4,5,6,6,5,5
National,National,0.35,10,4,2,2,4,2,2,2
National,National,0.62,8,6,0,0,0,8,0,0
NZ First,Labour,0.48,3,10,10,3,1,7,7,10
Labour,Progressive,0.98,3,6,1,1,0,6,0,7
Labour,Labour,3.19,6,5,4,1,2,4,2,1
United F,United F,0.40,8,6,0,5,2,3,1,0
National,Labour,1.64,0,0,0,0,0,0,0,0
National,National,0.33,8,1,1,0,3,0,0,0
Act,Labour,0.93,8,5,3,7,7,1,5,1
National,No Vote,0.33,9,0,0,1,1,0,1,1
National,National,0.33,10,0,0,5,3,0,0,3
National,National,2.92,8,4,0,4,6,1,7,4
National,National,0.33,7,4,1,3,4,2,4,1
Green,Green,0.84,4,8,5,5,0,10,5,8
National,Labour,0.67,6,5,3,1,3,0,0,0
Labour,Labour,0.31,4,9,2,4,2,7,3,8
No Vote,National,1.21,10,0,5,5,5,5,7,5
Kiwi,United F,0.62,5,0,4,7,5,0,5,0
No Vote,No Vote,3.33,0,0,0,0,0,0,0,0
National,National,1.65,8,0,5,5,5,2,5,5
Labour,Labour,2.16,0,10,0,0,0,0,0,0
Labour,Labour,0.55,6,8,3,3,2,3,2,1
Labour,Labour,0.30,5,7,5,4,1,3,5,7
No Vote,Labour,2.81,0,0,0,0,0,0,0,0
Labour,Green,0.34,6,6,2,1,2,5,4,3
Green,Labour,0.35,0,8,2,0,0,0,8,0
Labour,Labour,0.77,3,4,2,1,1,1,0,1
Labour,Labour,1.61,2,9,1,5,0,8,6,8
Labour,Labour,0.30,2,10,1,0,1,2,0,0
National,Act,0.53,8,1,3,5,6,2,6,2
United F,United F,0.46,6,6,4,8,2,6,7,0
Progressive,NZFirst,0.94,6,4,2,5,4,6,3,6
Act,DK,0.93,7,7,7,2,7,3,5,0
National,National,0.53,10,3,1,4,3,5,7,3
National,National,1.10,9,0,0,0,0,0,0,0
Labour,Labour,0.46,6,8,0,0,2,6,8,5
National,National,0.33,10,0,0,6,6,0,6,0
National,National,0.35,10,5,0,5,5,5,0,0
Labour,No Vote,2.92,0,0,0,0,0,0,0,0
National,Green,0.34,7,3,3,0,3,7,6,0
Green,Green,0.73,7,5,0,5,5,10,3,6
Labour,Labour,0.31,1,10,5,1,0,3,0,6
Labour,Labour,0.79,5,8,1,1,3,8,5,5
Labour,Labour,3.19,1,10,0,0,0,0,1,0
National,United F,0.26,8,4,2,4,2,3,5,4
National,National,0.26,10,2,1,1,9,6,3,1
Progressive,Alliance,0.70,0,8,0,0,0,5,0,10
National,Labour,1.10,8,6,6,3,1,4,0,1
National,Labour,2.42,5,5,5,5,5,8,0,9
Labour,Labour,0.30,2,10,3,0,0,10,5,0
Labour,Labour,0.60,0,10,0,0,3,0,1,5
National,National,0.77,8,3,3,6,6,2,2,5
Act,National,0.72,10,3,5,6,6,3,2,0
No Vote,Labour,1.21,7,7,8,0,0,4,0,0
Labour,Labour,1.47,5,9,0,0,0,7,3,8
National,National,1.65,8,6,2,2,3,3,1,0
National,National,0.53,8,1,0,8,5,4,8,0
National,National,0.33,9,2,3,0,6,0,4,0
NZ First,NZFirst,0.79,10,6,0,2,2,1,4,1
National,National,0.86,8,4,4,4,0,0,5,0
National,National,0.33,10,5,0,0,0,0,0,0
National,National,0.33,10,3,5,6,7,5,0,5
National,Labour,0.33,8,2,1,1,6,1,0,1
Green,DK,0.73,7,7,2,0,2,7,5,0
Labour,Progressive,1.36,3,10,0,0,0,8,0,9
National,NZFirst,2.92,8,5,2,4,1,1,3,2
National,Labour,1.64,5,5,0,0,0,0,0,0
Labour,Labour,0.69,2,10,5,1,0,5,1,5
National,National,0.33,8,0,5,6,7,0,1,4
Labour,Labour,0.98,5,10,5,3,0,10,10,3
No Vote,No Vote,0.47,0,0,0,0,0,0,0,0
Labour,Labour,0.98,0,10,5,0,0,5,5,10
NZ First,NZFirst,0.25,4,8,10,0,1,10,3,10
Kiwi,United F,3.08,5,0,4,7,0,0,0,0
Act,United F,0.37,7,0,2,10,1,0,2,1
Green,Green,0.32,2,7,3,4,2,8,4,7
National,National,0.62,8,1,1,6,6,4,4,5
National,National,0.35,10,3,4,2,7,0,7,3
National,National,0.67,7,4,9,1,1,0,3,0
National,National,1.52,8,6,0,5,5,6,6,5
National,Labour,0.35,5,3,0,2,3,3,0,2
National,DK,1.64,0,0,0,0,0,0,0,0
National,National,0.35,10,7,0,5,7,1,7,1
Green,Green,0.37,5,10,2,5,2,10,10,10
National,Labour,1.00,7,4,5,5,0,3,6,4
Green,Green,1.56,5,5,5,5,5,7,5,5
National,National,2.42,9,4,0,3,3,3,1,2
Labour,Labour,0.34,2,9,3,2,0,8,4,7
National,National,0.33,7,3,0,4,4,0,0,0
National,National,0.67,8,4,0,2,4,3,2,2
NZ First,Labour,0.25,4,8,8,1,1,7,4,4
Labour,Labour,0.55,4,7,5,5,5,7,0,7
National,No Vote,0.17,8,5,0,0,8,0,0,0
Labour,Labour,0.47,8,9,0,0,2,3,4,1
NZ First,Labour,0.21,5,9,6,3,1,6,4,5
National,National,1.19,7,3,1,0,7,4,1,0
National,National,0.77,6,5,3,7,6,0,3,5
National,National,1.10,10,5,6,6,8,0,0,0
National,National,1.65,8,4,1,5,5,5,5,4
Labour,Labour,0.59,3,9,4,1,0,8,9,5
Labour,Labour,0.30,0,10,5,0,0,0,0,0
Labour,Labour,2.33,5,10,5,1,1,1,1,1
National,National,0.66,8,2,1,7,7,3,5,2
National,National,0.42,10,0,0,4,8,0,4,0
Labour,Labour,0.76,8,10,5,2,0,9,2,2
Labour,Labour,0.30,1,8,1,1,1,9,9,1
Labour,Labour,0.31,0,10,0,0,0,0,0,0
National,DK,0.51,10,0,6,0,4,0,7,7
National,National,0.35,9,4,1,8,9,2,6,2
Labour,Labour,0.31,5,5,3,5,2,6,2,2
Act,Act,0.93,10,0,3,5,10,0,6,0
National,Destiny,0.77,9,2,1,7,6,1,5,5
No Vote,DK,1.56,0,0,0,0,0,0,0,0
National,National,0.33,10,7,2,3,4,0,5,1
Labour,Labour,0.30,3,10,10,2,0,4,2,5
National,DK,0.66,7,3,5,5,4,3,5,4
National,Labour,0.33,8,8,0,1,1,0,6,1
National,National,1.17,10,0,0,1,7,1,6,0
Act,National,0.35,10,0,0,0,8,0,0,0
Act,DK,0.35,8,2,0,2,9,0,2,0
National,National,0.38,8,3,1,1,7,3,4,0
National,Labour,1.00,4,9,0,1,2,8,5,0
Green,Green,0.59,0,5,3,1,0,10,5,5
National,National,0.35,9,3,4,7,0,1,5,2
Labour,Labour,1.47,10,0,0,0,0,0,0,0
National,National,0.35,10,1,0,0,3,0,3,0
NZ First,NZFirst,0.24,5,8,10,0,0,5,4,5
Act,Act,0.66,10,1,0,5,8,2,0,0
National,National,2.42,9,4,4,0,2,2,0,0
National,National,0.62,10,6,2,7,8,6,4,4
National,National,0.35,8,3,0,5,7,5,0,0
National,Labour,0.35,10,8,1,7,9,5,0,1
Labour,Labour,0.60,0,8,2,0,0,0,0,0
Labour,Labour,0.60,5,5,0,0,2,3,0,5
Labour,Green,0.15,8,8,0,0,5,9,8,0
National,Green,1.52,7,4,3,5,7,5,8,0
Labour,Green,0.34,0,7,0,0,0,8,5,4
Labour,Labour,0.30,4,9,0,0,0,8,0,0
Act,Act,0.93,9,1,1,5,10,1,1,1
Labour,Labour,0.30,7,10,8,8,1,9,0,0
NZ First,NZFirst,0.25,7,7,9,8,6,8,5,9
National,NZFirst,0.86,7,5,4,3,5,2,2,0
Labour,Labour,0.59,4,6,0,0,2,0,0,0
National,National,2.92,8,6,3,6,6,3,6,3
Act,National,0.57,6,0,5,5,5,0,0,0
National,National,0.33,10,0,6,6,6,0,5,0
National,National,0.34,10,0,0,2,10,0,1,0
Green,Labour,1.67,7,10,5,2,3,10,0,0
National,Labour,0.35,10,2,0,0,0,3,0,0
National,National,0.51,10,2,1,5,7,0,5,0
Labour,NZFirst,0.30,7,9,10,5,0,8,0,7
National,Act,2.92,8,5,2,5,7,4,7,1
NZ First,NZFirst,0.79,2,10,6,2,1,3,0,0
National,National,0.86,10,5,0,7,7,6,7,0
Act,National,0.93,7,3,7,5,8,5,0,3
Labour,Alliance,8.18,2,9,6,6,6,9,4,6
Labour,Labour,0.29,0,7,0,0,0,7,5,0
Green,Green,1.09,1,6,0,0,0,0,2,0
Green,Labour,0.96,3,8,0,1,1,9,6,0
Green,Progressive,0.42,4,9,3,5,1,10,6,10
National,National,0.34,6,5,2,0,0,5,0,0
National,National,0.62,10,0,0,0,0,0,0,0
Labour,National,0.69,5,6,3,1,2,0,0,1
National,National,2.42,10,2,2,5,8,0,0,0
Green,Labour,1.67,5,8,1,3,3,8,1,0
Labour,Labour,1.61,7,10,4,4,4,6,2,4
National,National,1.64,10,0,0,0,0,0,0,0
National,Labour,0.77,7,6,2,6,4,4,5,0
National,Labour,0.62,8,4,3,2,2,9,8,4
Labour,Labour,0.60,0,10,5,0,0,8,5,8
National,National,0.33,8,0,4,2,6,0,0,0
National,National,1.52,10,2,0,5,5,1,3,5
Labour,Labour,0.31,8,9,0,0,0,0,0,0
Labour,,2.16,0,0,0,0,0,0,0,0
Labour,Labour,0.60,5,5,5,1,5,5,5,1
Green,Green,0.35,1,9,1,3,1,9,7,5
Labour,Labour,0.79,0,10,8,0,0,10,6,8
National,National,0.35,8,2,0,0,4,1,4,0
Green,Labour,0.37,1,9,3,3,0,10,6,0
Labour,Labour,0.30,4,8,5,3,2,7,7,7
Green,Labour,0.42,1,5,1,0,0,7,5,3
Green,DK,0.36,6,6,1,2,1,4,5,5
Labour,Labour,0.98,5,5,5,0,0,0,0,0
Labour,Labour,0.30,4,8,1,3,2,4,1,3
Labour,Labour,0.23,1,10,5,2,0,7,3,10
National,National,1.56,9,1,0,5,4,0,5,0
Labour,Labour,0.59,3,7,4,3,3,7,5,7
National,National,0.33,8,0,0,5,8,1,0,1
No Vote,No Vote,0.92,6,6,0,5,5,0,7,0
National,National,0.86,9,0,0,0,0,0,0,0
National,National,0.86,8,4,6,6,4,0,4,2
Labour,Labour,0.48,0,10,10,0,0,6,6,6
Labour,Labour,0.48,3,9,6,2,2,7,4,7
National,National,0.33,10,0,0,8,8,0,8,0
Labour,Labour,0.77,5,4,3,3,3,2,3,2
Labour,Labour,0.55,6,9,4,4,0,5,5,3
National,Labour,0.62,7,6,6,6,6,3,3,3
National,Labour,0.67,5,4,3,4,4,3,2,0
Labour,DK,0.31,5,0,0,0,0,0,0,0
Labour,Labour,3.22,0,8,5,5,2,8,3,5
National,Labour,0.29,5,10,5,1,1,5,8,8
Labour,Labour,0.89,4,9,2,2,2,8,5,0
Labour,Labour,0.30,6,9,2,5,1,8,8,8
National,National,0.62,9,3,1,7,5,4,3,3
National,National,1.52,7,0,2,5,6,2,2,1
NZ First,NZFirst,1.18,2,6,8,5,0,0,5,0
Green,DK,1.67,5,5,4,4,4,6,1,4
National,Labour,1.00,7,6,2,4,4,6,0,0
National,National,0.62,9,5,3,2,1,2,2,2
National,Labour,0.67,10,3,5,6,6,8,0,0
Labour,Green,1.32,3,7,5,2,2,7,5,6
Green,Labour,2.65,3,8,6,3,3,8,1,8
National,Act,0.32,8,3,0,5,7,7,5,4
Labour,Labour,0.60,0,10,0,0,0,10,10,0
National,Labour,1.00,8,8,0,5,2,6,0,0
National,DK,2.42,7,1,7,7,7,3,5,7
Labour,,0.98,0,10,10,0,0,0,0,0
National,National,0.35,5,4,3,0,3,0,0,0
Green,Green,0.84,1,8,0,0,0,10,5,6
Labour,DK,0.55,0,6,4,4,3,6,0,6
Labour,Labour,0.69,3,10,1,1,1,1,1,1
National,National,0.35,9,4,0,6,6,8,5,3
National,National,0.53,8,6,1,1,8,6,1,0
National,National,0.67,10,6,0,0,6,0,6,0
NZ First,Labour,0.48,1,9,9,1,0,0,0,0
National,National,0.33,8,6,5,5,3,3,5,4
National,NZFirst,3.57,9,3,2,7,9,2,5,2
National,National,0.53,10,6,1,0,0,6,1,0
National,DK,1.61,8,8,5,0,0,0,0,0
National,Labour,1.10,8,8,0,0,0,0,0,0
Labour,Labour,3.19,0,5,1,0,0,5,1,5
National,National,0.86,7,3,3,1,7,6,5,5
National,National,0.88,10,4,0,0,7,0,0,0
Labour,Labour,1.36,0,8,2,0,6,6,1,0
Green,Green,0.73,3,7,3,0,0,10,7,0
NZ First,Labour,0.47,5,8,8,5,0,6,7,7
National,National,0.33,10,0,8,0,5,0,1,0
Labour,Labour,0.89,5,9,5,0,1,9,7,0
Labour,Labour,0.46,4,6,1,6,1,6,6,6
Green,National,0.73,7,5,5,7,5,7,5,7
Labour,Labour,2.60,6,9,4,2,3,2,5,1
National,National,0.33,5,0,0,5,3,0,2,0
NZ First,Labour,0.24,8,8,5,2,2,4,5,7
Labour,Labour,1.36,5,8,3,2,2,5,2,3
National,National,0.77,8,2,0,6,5,4,6,4
Labour,Labour,0.98,0,10,3,1,0,0,4,10
Labour,Labour,0.55,0,10,6,5,0,9,8,0
National,National,0.67,6,2,0,5,3,1,0,1
National,National,0.34,7,5,5,2,7,5,0,2
National,National,0.67,10,5,5,5,5,5,5,5
Labour,Labour,0.31,0,10,5,9,2,10,5,0
Labour,No Vote,0.79,2,9,0,0,3,8,8,8
National,Labour,0.88,8,6,0,4,6,7,6,6
National,National,0.88,10,3,0,0,10,3,0,0
Labour,Labour,0.31,8,10,1,8,0,9,0,0
Labour,Labour,0.49,5,8,0,3,2,4,0,4
National,National,0.77,8,5,0,3,4,7,3,2
National,Labour,1.00,8,6,5,5,5,5,5,5
Green,DK,0.42,5,5,5,5,5,5,5,5
Labour,,0.69,3,9,5,3,0,9,6,6
National,United F,1.00,10,7,2,10,5,5,0,0
National,National,0.53,8,3,3,7,6,4,4,0
National,National,0.35,10,3,0,3,1,0,1,0
National,National,0.67,10,2,0,0,4,4,0,0
National,Green,0.62,9,2,0,5,7,4,5,0
National,Labour,0.67,10,4,5,7,2,1,2,6
National,Labour,1.52,10,8,5,5,5,5,8,5
NZ First,Labour,0.25,4,7,4,1,1,4,4,0
National,National,0.77,10,0,1,3,8,4,0,2
Labour,Labour,0.30,7,9,0,1,0,6,5,5
Labour,Labour,2.16,4,10,5,5,0,8,5,0
National,National,0.62,10,1,1,3,6,2,6,0
National,National,0.77,10,3,0,2,5,3,2,0
National,Labour,0.35,8,4,1,0,6,0,0,0
Labour,Labour,0.30,8,8,4,4,5,6,2,6
Labour,Labour,0.49,5,9,5,2,2,5,5,2
Labour,Labour,0.25,5,7,2,5,2,6,5,7
National,National,1.64,7,2,0,0,0,0,0,0
National,National,0.29,8,5,5,5,4,6,2,7
National,Labour,0.66,7,5,0,2,2,2,1,2
Labour,Labour,3.22,1,10,1,1,1,5,1,10
National,United F,0.35,5,5,3,4,3,4,3,4
National,NZFirst,1.48,10,2,2,2,2,4,10,3
National,National,0.35,8,5,0,5,7,5,8,0
National,DK,0.35,10,3,3,5,1,5,2,2
National,Act,0.66,7,1,3,4,9,0,0,0
National,National,1.65,10,2,0,3,8,1,4,5
Labour,DK,3.05,5,7,0,5,0,5,0,0
Green,Green,0.56,6,6,1,6,3,8,5,8
National,National,0.35,10,4,6,1,0,0,7,1
National,National,2.42,10,2,0,7,8,0,8,1
National,National,0.35,8,4,1,1,1,7,3,4
National,National,0.62,10,5,3,5,5,1,0,0
Labour,Labour,0.34,3,7,0,0,0,7,2,5
National,National,0.35,9,3,0,3,2,0,0,0
National,Labour,1.21,6,5,2,2,0,9,5,2
Labour,Labour,1.48,5,8,5,0,0,5,5,0
National,Labour,0.35,7,5,3,3,5,5,0,0
National,National,0.67,10,5,0,5,5,5,5,5
Labour,Labour,0.30,6,10,7,0,0,2,1,8
Labour,NZFirst,0.30,0,10,0,0,0,0,0,0
National,DK,1.64,3,3,3,1,1,1,1,2
Labour,Labour,0.31,0,10,0,0,0,0,0,0
Labour,Labour,1.25,7,9,4,0,4,6,0,0
National,National,0.88,10,1,5,0,6,5,0,0
National,National,0.88,10,2,0,6,8,0,0,5
National,National,1.65,8,0,3,5,8,3,7,1
National,National,0.53,8,4,2,0,7,3,0,0
Green,Green,0.38,2,10,5,5,5,9,2,5
National,National,0.86,0,0,2,0,5,2,0,0
National,National,0.86,6,6,5,4,8,3,2,3
Labour,Labour,0.77,0,0,0,0,0,0,0,0
National,National,0.33,10,7,2,0,7,0,0,0
Labour,Labour,0.23,4,8,0,6,1,7,4,6
National,National,1.10,7,4,1,0,3,1,3,0
NZ First,Labour,0.24,0,8,8,0,0,0,0,0
National,National,0.86,8,0,5,4,5,0,5,0
Green,Green,0.42,0,0,0,0,0,0,0,0
Green,Green,0.95,4,7,2,1,1,7,5,7
Labour,Labour,1.36,6,7,4,5,5,6,5,5
Labour,DK,1.36,2,10,5,0,0,3,5,0
Green,Green,1.09,0,7,0,0,0,10,7,0
Labour,Labour,1.32,0,10,0,0,0,0,0,0
Green,,1.56,0,6,0,0,0,10,5,5
Labour,Labour,0.60,3,8,0,3,3,6,5,0
National,National,1.64,10,4,4,2,2,2,2,2
National,Labour,0.33,5,5,6,4,6,5,5,5
Green,Green,0.95,5,5,2,2,2,8,7,5
National,National,1.80,10,1,1,3,6,2,0,0
Labour,Labour,5.25,0,10,6,0,0,0,6,10
National,National,0.51,7,8,1,4,6,8,5,6
Labour,Labour,0.26,4,10,4,4,0,8,6,5
National,National,0.86,7,5,2,0,2,0,4,0
Act,National,1.77,5,5,8,5,7,2,0,5
National,Labour,0.86,9,4,0,6,6,5,3,3
National,National,1.10,10,0,0,7,7,4,9,0
National,NZFirst,0.33,9,2,4,4,7,0,0,5
National,National,0.77,10,5,0,2,8,0,8,0
National,Labour,0.35,7,0,0,0,0,0,0,0
Act,National,0.35,8,2,5,5,5,7,7,5
Labour,Labour,0.79,5,8,6,2,3,4,2,2
NZ First,DK,0.48,4,0,8,0,0,0,0,0
National,National,0.17,8,6,0,0,0,9,2,0
Labour,Labour,1.36,10,10,5,0,9,9,7,9
NZ First,NZFirst,0.25,5,0,10,0,0,0,0,0
Labour,Labour,0.31,0,0,0,0,0,0,0,0
National,National,0.62,8,5,1,1,3,1,5,3
National,United F,1.64,10,0,0,0,0,0,0,0
Labour,Labour,0.30,6,8,1,3,3,0,5,2
Labour,Labour,0.48,5,7,3,1,0,5,0,10
Green,Green,0.42,3,7,4,4,1,9,5,7
Act,Labour,2.59,8,7,2,4,8,6,8,4
National,DK,0.35,5,5,0,0,4,1,0,0
Labour,Labour,1.39,5,10,1,1,5,10,5,5
National,Green,0.62,8,5,5,5,2,7,5,7
National,National,0.35,10,5,3,0,0,0,6,0
Labour,Labour,0.15,2,10,0,0,0,0,10,0
National,National,1.39,7,4,4,3,3,2,1,2
National,DK,3.27,9,4,2,2,4,2,5,2
Labour,DK,0.60,0,0,0,0,0,0,0,0
Act,NZFirst,0.37,8,2,3,2,6,3,8,3
National,National,0.34,10,2,5,7,7,3,5,0
Labour,Labour,0.30,5,10,0,0,0,0,0,0
National,National,1.10,9,6,8,0,3,0,9,0
Labour,Labour,3.19,5,10,4,0,0,6,10,0
Labour,Labour,0.77,4,9,1,5,0,10,8,8
Green,Green,0.42,3,8,2,2,1,10,10,8
National,National,0.33,8,3,0,6,7,4,5,0
Labour,Labour,0.29,2,8,2,0,0,7,5,0
Green,Green,0.38,6,5,0,0,3,8,0,0
Labour,Green,0.30,3,8,5,0,0,10,5,7
Labour,Labour,2.16,4,8,6,5,3,7,3,8
Progressive,Act,0.28,10,7,3,5,4,3,4,5
National,National,2.92,10,3,2,5,9,5,5,3
National,National,0.33,10,0,5,8,6,0,6,0
National,National,0.66,8,6,2,5,4,2,5,2
Labour,Labour,2.37,5,8,3,3,0,7,5,6
National,No Vote,0.86,5,0,0,5,5,0,0,5
