"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
Maori,Labour,0.27,0,0,0,0,0,0,0,0
Labour,Labour,0.16,5,10,10,2,0,2,10,0
Labour,Labour,0.08,0,9,6,0,0,10,10,10
NZ First,NZFirst,0.17,1,10,10,0,1,3,7,0
National,Labour,0.09,7,3,0,4,4,2,0,3
National,National,0.15,8,2,0,5,4,4,8,2
Labour,Labour,0.22,2,5,4,2,2,4,5,2
Labour,Labour,0.71,7,10,10,0,4,8,3,3
Labour,Labour,1.76,0,10,5,0,0,9,4,9
Maori,DK,0.11,4,7,6,5,5,7,8,5
NZ First,NZFirst,0.30,4,2,8,2,2,2,9,2
Maori,Labour,0.14,0,10,6,0,0,6,9,0
Labour,Labour,0.44,4,7,5,0,0,2,1,0
Labour,Labour,1.67,0,10,5,1,0,5,10,5
Maori,Labour,0.14,1,1,5,0,0,1,9,0
Labour,Labour,0.09,1,6,6,0,1,6,3,0
Labour,DK,0.40,5,7,3,0,0,4,4,0
NZ First,NZFirst,0.11,7,7,6,3,0,4,8,4
Maori,Labour,0.13,4,6,0,0,0,6,6,0
Maori,Labour,0.25,5,3,2,5,5,5,5,5
No Vote,DK,1.11,5,5,0,5,5,5,5,5
Maori,Labour,0.13,5,8,3,2,3,7,10,7
Labour,Labour,0.19,5,8,2,1,0,9,9,0
Labour,Labour,0.80,0,0,0,0,0,0,0,0
Maori,Maori,0.13,7,3,3,0,0,3,7,0
Labour,Labour,1.61,2,9,2,0,0,9,9,8
National,,0.42,10,6,9,0,0,5,10,0
NZ First,NZFirst,0.17,0,6,10,0,0,10,10,5
Labour,Labour,0.37,1,10,2,0,5,6,7,0
Labour,Labour,0.16,5,6,2,1,3,1,6,2
Labour,Maori,0.24,0,8,1,1,1,8,10,1
Labour,Labour,0.88,0,8,7,4,4,4,5,4
Labour,Labour,0.16,0,10,8,0,0,5,10,0
Labour,Labour,0.09,4,7,4,3,2,6,4,4
National,National,0.21,3,3,0,0,0,3,2,0
Labour,Labour,0.37,5,10,5,0,1,10,10,0
Maori,Labour,0.16,7,7,6,4,6,7,10,4
NZ First,NZFirst,0.07,0,0,10,0,0,0,0,0
No Vote,Labour,0.33,4,8,5,2,2,7,7,0
Labour,Labour,0.37,5,9,5,5,1,8,7,5
Labour,Labour,0.08,5,5,4,2,2,5,5,0
National,NZFirst,0.24,10,8,8,7,8,9,4,5
Green,DK,0.26,6,6,5,4,3,9,9,4
Maori,Labour,0.43,6,8,0,0,0,0,9,0
NZ First,Labour,0.07,4,4,4,4,1,4,6,4
Green,Green,0.77,3,6,5,5,3,9,9,5
Maori,Destiny,0.27,0,5,5,0,0,0,10,0
National,National,0.10,7,5,3,3,4,4,6,2
Maori,Labour,0.13,6,6,6,2,0,8,10,9
Labour,Labour,0.22,0,10,0,0,0,9,5,0
NZ First,Maori,0.11,4,5,6,0,0,9,10,3
Labour,Labour,0.07,5,8,6,2,0,2,4,4
Maori,Maori,0.38,9,9,5,5,5,7,10,5
Green,DK,0.20,0,0,0,0,0,0,6,0
Labour,Labour,0.21,9,9,6,6,7,8,8,5
National,Act,0.45,8,3,1,2,8,2,5,0
Maori,Legalise Cannabis,0.14,8,8,9,0,0,0,9,0
National,Labour,0.33,9,8,7,0,4,4,6,4
Labour,Labour,0.59,2,8,6,2,4,8,8,8
Maori,Labour,0.06,5,5,5,0,1,9,10,0
Labour,Labour,0.16,1,9,0,0,0,0,0,0
Labour,Labour,0.21,1,7,1,5,5,5,8,5
Labour,Labour,0.44,5,8,8,5,5,6,6,6
Labour,Labour,0.45,0,10,1,0,0,10,5,10
Maori,Maori,0.11,1,5,2,0,0,8,10,0
No Vote,Labour,0.91,1,8,0,0,0,5,3,0
National,NZFirst,0.49,8,7,8,5,5,2,6,5
Labour,Labour,0.37,2,10,8,2,2,10,5,0
Labour,Labour,0.21,1,10,5,0,0,5,8,0
Progressive,Progressive,0.17,5,7,3,1,1,6,8,9
Labour,Labour,0.44,7,10,6,0,0,10,9,0
